Raw_Data,ID,Status,Latency,Risk_Level
TXNID:236842 | STATUS:REJECTED | LATENCY:92ms,236842,REJECTED,92,CRITICAL
TXNID:374200 | STATUS:REJECTED | LATENCY:179ms,374200,REJECTED,179,CRITICAL
TXNID:906490 | STATUS:REJECTED | LATENCY:83ms,906490,REJECTED,83,CRITICAL
TXNID:396474 | STATUS:FAILURE | LATENCY:191ms,396474,FAILURE,191,CRITICAL
TXNID:616477 | STATUS:REJECTED | LATENCY:133ms,616477,REJECTED,133,CRITICAL
TXNID:600085 | STATUS:REJECTED | LATENCY:0ms,600085,REJECTED,0,CRITICAL
TXNID:985962 | STATUS:SUCCESS | LATENCY:189ms,985962,SUCCESS,189,CRITICAL
TXNID:154550 | STATUS:REJECTED | LATENCY:110ms,154550,REJECTED,110,CRITICAL
TXNID:708239 | STATUS:REJECTED | LATENCY:187ms,708239,REJECTED,187,CRITICAL
TXNID:378492 | STATUS:REJECTED | LATENCY:176ms,378492,REJECTED,176,CRITICAL
TXNID:78640 | STATUS:FAILURE | LATENCY:196ms,78640,FAILURE,196,CRITICAL
TXNID:944087 | STATUS:REJECTED | LATENCY:125ms,944087,REJECTED,125,CRITICAL
TXNID:7739 | STATUS:REJECTED | LATENCY:41ms,7739,REJECTED,41,CRITICAL
TXNID:650032 | STATUS:REJECTED | LATENCY:27ms,650032,REJECTED,27,CRITICAL
TXNID:272955 | STATUS:REJECTED | LATENCY:89ms,272955,REJECTED,89,CRITICAL
TXNID:33565 | STATUS:REJECTED | LATENCY:27ms,33565,REJECTED,27,CRITICAL
TXNID:202804 | STATUS:SUCCESS | LATENCY:188ms,202804,SUCCESS,188,CRITICAL
TXNID:727840 | STATUS:REJECTED | LATENCY:148ms,727840,REJECTED,148,CRITICAL
TXNID:15675 | STATUS:FAILURE | LATENCY:186ms,15675,FAILURE,186,CRITICAL
TXNID:622107 | STATUS:REJECTED | LATENCY:76ms,622107,REJECTED,76,CRITICAL
TXNID:394585 | STATUS:REJECTED | LATENCY:131ms,394585,REJECTED,131,CRITICAL
TXNID:291331 | STATUS:REJECTED | LATENCY:116ms,291331,REJECTED,116,CRITICAL
TXNID:39869 | STATUS:REJECTED | LATENCY:16ms,39869,REJECTED,16,CRITICAL
TXNID:819368 | STATUS:REJECTED | LATENCY:30ms,819368,REJECTED,30,CRITICAL
TXNID:953148 | STATUS:REJECTED | LATENCY:133ms,953148,REJECTED,133,CRITICAL
TXNID:594194 | STATUS:REJECTED | LATENCY:140ms,594194,REJECTED,140,CRITICAL
TXNID:574763 | STATUS:REJECTED | LATENCY:51ms,574763,REJECTED,51,CRITICAL
TXNID:467329 | STATUS:REJECTED | LATENCY:180ms,467329,REJECTED,180,CRITICAL
TXNID:590812 | STATUS:PENDING | LATENCY:182ms,590812,PENDING,182,CRITICAL
